Tool,Type,Severity,File,Line,Description
Dependency-Check,CVE-2026-34480,MEDIUM,/home/marussia/lab07/sca/lib/log4j-api-2.14.1.jar,,"Apache Log4j Core's  XmlLayout https://logging.apache.org/log4j/2.x/manual/layouts.html#XmlLayout , "
Dependency-Check,CVE-2025-68161,MEDIUM,/home/marussia/lab07/sca/lib/log4j-api-2.14.1.jar,,The Socket Appender in Apache Log4j Core versions 2.0-beta9 through 2.25.2 does not perform TLS host
Dependency-Check,CVE-2026-34481,MEDIUM,/home/marussia/lab07/sca/lib/log4j-api-2.14.1.jar,,Apache Log4j's  JsonTemplateLayout https://logging.apache.org/log4j/2.x/manual/json-template-layout.
Dependency-Check,CVE-2021-44228,CRITICAL,/home/marussia/lab07/sca/lib/log4j-core-2.14.1.jar,,"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI "
Dependency-Check,CVE-2021-45046,CRITICAL,/home/marussia/lab07/sca/lib/log4j-core-2.14.1.jar,,It was found that the fix to address CVE-2021-44228 in Apache Log4j 2.15.0 was incomplete in certain
Dependency-Check,CVE-2026-34480,MEDIUM,/home/marussia/lab07/sca/lib/log4j-core-2.14.1.jar,,"Apache Log4j Core's  XmlLayout https://logging.apache.org/log4j/2.x/manual/layouts.html#XmlLayout , "
Dependency-Check,CVE-2021-44832,MEDIUM,/home/marussia/lab07/sca/lib/log4j-core-2.14.1.jar,,Apache Log4j2 versions 2.0-beta7 through 2.17.0 (excluding security fix releases 2.3.2 and 2.12.4) a
Dependency-Check,CVE-2025-68161,MEDIUM,/home/marussia/lab07/sca/lib/log4j-core-2.14.1.jar,,The Socket Appender in Apache Log4j Core versions 2.0-beta9 through 2.25.2 does not perform TLS host
Dependency-Check,CVE-2026-34481,MEDIUM,/home/marussia/lab07/sca/lib/log4j-core-2.14.1.jar,,Apache Log4j's  JsonTemplateLayout https://logging.apache.org/log4j/2.x/manual/json-template-layout.
Dependency-Check,CVE-2021-45105,MEDIUM,/home/marussia/lab07/sca/lib/log4j-core-2.14.1.jar,,Apache Log4j2 versions 2.0-alpha1 through 2.16.0 (excluding 2.12.3 and 2.3.1) did not protect from u
